SymbolSymbol,Company,Last,Chg,% Chg,Vol,$ Traded
WOLFWOLF,Wolfspeed Inc.,$2.33,0.45,23.94%,100.35M,$233.82M
BGSFBGSF,BGSF Inc.,$7.76,1.36,21.25%,4.92M,$38.14M
IONQIONQ,IonQ Inc.,$55.61,8.56,18.19%,68.82M,$3.83B
BIO.BBIO.B,Bio-Rad Laboratories Inc. Cl B,$247.05,34.05,15.99%,1,$247.05
ELONELON,Battleshares TSLA vs F ETF,$18.56,2.44,15.12%,13.82K,$256.46K
TSLITSLI,ProShares Ultra TSLA,$32.19,4.10,14.61%,5.87K,$189.07K
SLONSLON,ProShares Ultra Solana ETF,$72.62,8.44,13.15%,319.53K,$23.2M
NRGVNRGV,Energy Vault Holdings Inc.,$2.29,0.26,12.81%,2.51M,$5.75M
BWBW,Babcock & Wilcox Enterprises Inc.,$2.78,0.31,12.55%,4.12M,$11.44M
QSQS,QuantumScape Corp. Cl A,$9.95,1.10,12.43%,39.08M,$388.9M
MPWMPW,Medical Properties Trust Inc.,$5.13,0.52,11.28%,21.82M,$111.93M
LITBLITB,LightInTheBox Holding Co. Ltd. ADR,$2.08,0.21,11.23%,31.25K,$64.99K
ETHTETHT,ProShares Ultra Ether ETF,$116.19,11.56,11.05%,1.33M,$154.7M
BKSYBKSY,BlackSky Technology Inc.,$19.29,1.90,10.93%,2.79M,$53.73M
NMGNMG,Nouveau Monde Graphite Inc.,$2.15,0.21,10.82%,103.46K,$222.43K
WILDWILD,VistaShares Animal Spirits Daily 2X Strategy ETF,$27.31,2.65,10.74%,5.32K,$145.37K
BWETBWET,Breakwave Tanker Shipping ETF,$15.12,1.22,8.81%,18.44K,$278.85K
PERFPERF,Perfect Corp.,$2.08,0.16,8.33%,248.87K,$517.66K
FUNFUN,Six Flags Entertainment Corp.,$23.45,1.69,7.77%,4.92M,$115.42M
SESSES,SES AI Corp.,$1.2500,0.0900,7.76%,6.8M,$8.5M
PLTAPLTA,ProShares Ultra PLTR,$29.81,2.14,7.72%,1.35K,$40.36K
VIAVIA,Via Transportation Inc. Cl A,$49.51,3.51,7.63%,5.05M,$250.06M
QBTSQBTS,D-Wave Quantum Inc.,$17.76,1.24,7.51%,59.65M,$1.06B
GHGGHG,GreenTree Hospitality Group Ltd. ADR,$2.24,0.15,7.30%,70.97K,$159.14K
HIMSHIMS,Hims & Hers Health Inc.,$55.50,3.74,7.23%,35.5M,$1.97B
